model,k,dataset,experiment,split_file,best_model_file,num_classes,train_samples,val_samples,test_samples,accuracy,mean_grid_error,median_grid_error,rmse_grid_error,trainable_parameters,best_epoch,epochs_ran,early_stopped,training_time_seconds,test_time_seconds
MLP,1,meeting_room_full_windows_30,ordered_k1_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k1_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\mlp_meeting_room_ordered_k1_best.pt,176,176,880,1760,0.7357954545454546,1.5652374029159546,0.0,3.481933832168579,1559472,33,40,True,8.49999790000004,0.27789549999999963
MLP,5,meeting_room_full_windows_30,ordered_k5_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k5_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\mlp_meeting_room_ordered_k5_best.pt,176,880,880,1760,0.7556818181818182,1.393031358718872,0.0,3.228864908218384,1559472,9,16,True,7.70855860000006,0.1909685000000536
MLP,15,meeting_room_full_windows_30,ordered_k15_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k15_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\mlp_meeting_room_ordered_k15_best.pt,176,2640,880,1760,0.8426136363636364,0.956118643283844,0.0,2.688253164291382,1559472,5,12,True,13.573263999999995,0.29129869999997027
MLP,25,meeting_room_full_windows_30,ordered_k25_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k25_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\mlp_meeting_room_ordered_k25_best.pt,176,4400,880,1760,0.8897727272727273,0.6236706376075745,0.0,2.1181037425994873,1559472,5,12,True,19.802140800000075,0.20554630000003726
MLP,35,meeting_room_full_windows_30,ordered_k35_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k35_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\mlp_meeting_room_ordered_k35_best.pt,176,6160,880,1760,0.95,0.30665457248687744,0.0,1.5324149131774902,1559472,25,32,True,74.1834384,0.21175930000003973
CNN,1,meeting_room_full_windows_30,ordered_k1_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k1_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\cnn_meeting_room_ordered_k1_best.pt,176,176,880,1760,0.6960227272727273,1.5879108905792236,0.0,3.3485920429229736,116400,50,50,False,35.7089100000012,0.9618210000007821
CNN,5,meeting_room_full_windows_30,ordered_k5_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k5_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\cnn_meeting_room_ordered_k5_best.pt,176,880,880,1760,0.7857954545454545,1.2837074995040894,0.0,3.204134464263916,116400,47,50,False,90.88361460000124,0.9166970000005676
CNN,15,meeting_room_full_windows_30,ordered_k15_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k15_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\cnn_meeting_room_ordered_k15_best.pt,176,2640,880,1760,0.852840909090909,1.0082595348358154,0.0,2.9266602993011475,116400,29,36,True,143.31061279999994,0.9191600000012841
CNN,25,meeting_room_full_windows_30,ordered_k25_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k25_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\cnn_meeting_room_ordered_k25_best.pt,176,4400,880,1760,0.9022727272727272,0.5672271847724915,0.0,2.1046485900878906,116400,27,34,True,209.01496210000005,1.1677085000010266
CNN,35,meeting_room_full_windows_30,ordered_k35_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k35_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\cnn_meeting_room_ordered_k35_best.pt,176,6160,880,1760,0.9704545454545455,0.19171498715877533,0.0,1.237666368484497,116400,35,42,True,358.41211660000045,0.8896669999994629
LLT,1,meeting_room_full_windows_30,ordered_k1_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k1_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\llt_meeting_room_ordered_k1_best.pt,176,176,880,1760,0.26590909090909093,4.6857781410217285,4.123105525970459,6.136422634124756,26608,40,40,False,9.731047499999477,0.19329900000047928
LLT,5,meeting_room_full_windows_30,ordered_k5_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k5_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\llt_meeting_room_ordered_k5_best.pt,176,880,880,1760,0.6261363636363636,2.3120932579040527,0.0,4.249732494354248,26608,40,40,False,32.17238139999972,0.19560959999944316
LLT,15,meeting_room_full_windows_30,ordered_k15_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k15_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\llt_meeting_room_ordered_k15_best.pt,176,2640,880,1760,0.8471590909090909,0.8668513298034668,0.0,2.5926032066345215,26608,39,40,False,91.72902480000084,0.18221289999928558
LLT,25,meeting_room_full_windows_30,ordered_k25_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k25_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\llt_meeting_room_ordered_k25_best.pt,176,4400,880,1760,0.897159090909091,0.5670725107192993,0.0,2.0741920471191406,26608,32,40,True,152.02572320000036,0.22596549999980198
LLT,35,meeting_room_full_windows_30,ordered_k35_seed42,C:\Users\ivand\Desktop\WifiSIL\outputs\splits\meeting_room_ordered_k35_split.npz,C:\Users\ivand\Desktop\WifiSIL\outputs\models\llt_meeting_room_ordered_k35_best.pt,176,6160,880,1760,0.9573863636363636,0.21730896830558777,0.0,1.150345802307129,26608,39,40,False,242.62664080000104,0.2041317999992316
